VBELN,POSNR,BEZEI,BZIRK,CG_NAME,CITY_NAME,CUST_NAME,DISC_PERC,DISCOUNT,DRERZ,EDITION_NAME,FREE_COPY,GJAHR,GROSS_COPY,GROSS_VALUE,KDGRP,MANDT,MATNR,MONAT,NET_VALUE,ORD_DATE,PAID_COPY,PSTYV,PUB_NAME,PVA,RATE,ROUTE,SDIST_NAME,SGRP_NAME,SHIP_TO_PARTY,SOFF_NAME,SOLD_TO_PARTY,SPART,VGBEL,VKBUR,VKGRP,VKORG,VTWEG,ZCOO,ZLAO
132581049,10,JUNAGADH TO KOTDAPITHA-AMRELI,JNAGDH,Cir. Sub Agent,KATHAROTA,MAHADEV NEWS AGENCY,27,-54,DV,JUNAGADH DAK,0,2020,50,200,CS,100,VJUD200918,9,146,9/18/2020,50,JTAP,DIVYA BHASKAR,VJUD,4,JNARLI,JUNAGADH,Circulation Satelite,10032958,Junagarh,10026528,NE,63292,JUNA,CRU,JUNA,DA,0,0
132581050,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,PAJOD,MARUTI NEWS AGENCY,30,-38.4,DV,JUNAGADH DAK,0,2020,32,128,CS,100,VJUD200918,9,89.6,9/18/2020,32,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10033107,Junagarh,10027152,NE,63823,JUNA,CRU,JUNA,DA,0,0
132581051,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,GORAKHMADHI,RATANDHAYRA PRAFULBHAI N,27,-64.8,DV,JUNAGADH DAK,0,2020,60,240,CU,100,VJUD200918,9,175.2,9/18/2020,60,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10036276,Junagarh,10036276,NE,70221,JUNA,CRU,JUNA,DA,0,0
132581052,10,JUNAGADH TO UNA,JNAGDH,Cir. Sub Agent,GUNDRAN,SOMNATH NEWS AGENCY,30,-72,DV,JUNAGADH DAK,0,2020,60,240,CS,100,VJUD200918,9,168,9/18/2020,60,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10043428,Junagarh,10000147,NE,83741,JUNA,CRU,JUNA,DA,0,0
132581053,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,KHORASA-GIR,LION NEWS AGENCY,27,-205.2,DV,JUNAGADH DAK,0,2020,190,760,CU,100,VJUD200918,9,554.8,9/18/2020,190,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10044985,Junagarh,10044985,NE,87431,JUNA,CRU,JUNA,DA,0,0
132581054,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,DELVADA,MAHENDRA NEWS AGENCY,27,-108,DV,JUNAGADH DAK,0,2020,100,400,CU,100,VJUD200918,9,292,9/18/2020,100,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10044987,Junagarh,10044987,NE,87433,JUNA,CRU,JUNA,DA,0,0
132581055,10,JUNAGADH TO KOTDAPITHA-AMRELI,JNAGDH,Cir. Agent upcountry,BHESAN,ARUN R MAHETA,27,-945,DV,JUNAGADH DAK,0,2020,875,3500,CU,100,VJUD200918,9,2555,9/18/2020,875,JTAP,DIVYA BHASKAR,VJUD,4,JNARLI,JUNAGADH,Circulation Satelite,10044988,Junagarh,10044988,NE,87434,JUNA,CRU,JUNA,DA,0,0
132581056,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,MALIYA HATINA,BABA NEWS AGENCY,27,-351,DV,JUNAGADH DAK,0,2020,325,1300,CU,100,VJUD200918,9,949,9/18/2020,325,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10045536,Junagarh,10045536,NE,87436,JUNA,CRU,JUNA,DA,0,0
132581057,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,NANADIYA,MARUTI NEWS AGENCY,30,-38.4,DV,JUNAGADH DAK,0,2020,32,128,CS,100,VJUD200918,9,89.6,9/18/2020,32,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10046040,Junagarh,10027152,NE,89995,JUNA,CRU,JUNA,DA,0,0
132581058,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,SITANA,MARUTI NEWS AGENCY,30,-31.2,DV,JUNAGADH DAK,0,2020,26,104,CS,100,VJUD200918,9,72.8,9/18/2020,26,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10046041,Junagarh,10027152,NE,89996,JUNA,CRU,JUNA,DA,0,0
132581059,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,BAGASARA (GHED),MARUTI NEWS AGENCY,30,-32.4,DV,JUNAGADH DAK,0,2020,27,108,CS,100,VJUD200918,9,75.6,9/18/2020,27,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10046042,Junagarh,10027152,NE,89997,JUNA,CRU,JUNA,DA,0,0
132581060,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Sub Agent,SHERADI,MARUTI NEWS AGENCY,30,-30,DV,JUNAGADH DAK,0,2020,25,100,CS,100,VJUD200918,9,70,9/18/2020,25,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10046043,Junagarh,10027152,NE,89998,JUNA,CRU,JUNA,DA,0,0
132581061,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,KANJA,FULBHAI MAKDIYA,27,-226.8,DV,JUNAGADH DAK,0,2020,210,840,CU,100,VJUD200918,9,613.2,9/18/2020,210,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10048041,Junagarh,10048041,NE,97525,JUNA,CRU,JUNA,DA,0,0
132581062,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Agent upcountry,SHAPUR,DHANESH J.RACHCHH,27,-135,DV,JUNAGADH DAK,0,2020,125,500,CU,100,VJUD200918,9,365,9/18/2020,125,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10048242,Junagarh,10048242,NE,97819,JUNA,CRU,JUNA,DA,0,0
132581063,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,AGATRAI,BHARGAV B.VAGHELA,27,-70.2,DV,JUNAGADH DAK,0,2020,65,260,CU,100,VJUD200918,9,189.8,9/18/2020,65,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10048686,Junagarh,10048686,NE,99170,JUNA,CRU,JUNA,DA,0,0
132581064,10,JUNAGADH TO RAJULA,JNAGDH,Cir. Agent upcountry,BILKHA,DHARMENDRA G SOLANKI,27,-129.6,DV,JUNAGADH DAK,0,2020,120,480,CU,100,VJUD200918,9,350.4,9/18/2020,120,JTAP,DIVYA BHASKAR,VJUD,4,JNRAJU,JUNAGADH,Circulation Satelite,10056161,Junagarh,10056161,NE,118039,JUNA,CRU,JUNA,DA,0,0
132581065,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,VERAVAL,TULSI KARIYA,30,-3360,DV,JUNAGADH DAK,0,2020,2800,11200,CU,100,VJUD200918,9,7840,9/18/2020,2800,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10058038,Junagarh,10058038,NE,120901,JUNA,CRU,JUNA,DA,0,0
132581066,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,MENDARDA,RAVI J KHEVLANI,27,-648,DV,JUNAGADH DAK,0,2020,600,2400,CU,100,VJUD200918,9,1752,9/18/2020,600,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10060385,Junagarh,10060385,NE,127616,JUNA,CRU,JUNA,DA,0,0
132581067,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,DATRANA,ASHOK B BHAKHAR,27,-199.8,DV,JUNAGADH DAK,0,2020,185,740,CU,100,VJUD200918,9,540.2,9/18/2020,185,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10061116,Junagarh,10061116,NE,130224,JUNA,CRU,JUNA,DA,0,0
132581068,10,JUNAGADH TO MADHAVPUR,JNAGDH,Cir. Agent upcountry,AARENA,LAKSHMANBHAI JIVABHAI JOTVA,27,-113.4,DV,JUNAGADH DAK,0,2020,105,420,CU,100,VJUD200918,9,306.6,9/18/2020,105,JTAP,DIVYA BHASKAR,VJUD,4,JNMDPR,JUNAGADH,Circulation Satelite,10061159,Junagarh,10061159,NE,130104,JUNA,CRU,JUNA,DA,0,0
132581070,10,JUNAGADH TO PORBANDAR,JNAGDH,Cir. Agent upcountry,VANTHALI,RAVAIYA ANIL R,27,-216,DV,JUNAGADH DAK,0,2020,200,800,CU,100,VJUD200918,9,584,9/18/2020,200,JTAP,DIVYA BHASKAR,VJUD,4,JNPBDR,JUNAGADH,Circulation Satelite,10061231,Junagarh,10061231,NE,130105,JUNA,CRU,JUNA,DA,0,0
132581072,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,VADODARA ZALA,MAHABAL NEWS AGENCY,27,-138.24,DV,JUNAGADH DAK,0,2020,128,512,CU,100,VJUD200918,9,373.76,9/18/2020,128,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10061281,Junagarh,10061281,NE,130226,JUNA,CRU,JUNA,DA,0,0
132581074,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,SUTRAPADA,DIVYASHAKTI NEWS AGENCY,27,-545.4,DV,JUNAGADH DAK,0,2020,505,2020,CU,100,VJUD200918,9,1474.6,9/18/2020,505,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10061282,Junagarh,10061282,NE,130227,JUNA,CRU,JUNA,DA,0,0
132581076,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,MESWAN,THAKARSHIBHAI KANERIYA,27,-17.28,DV,JUNAGADH DAK,0,2020,16,64,CU,100,VJUD200918,9,46.72,9/18/2020,16,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10061288,Junagarh,10061288,NE,131041,JUNA,CRU,JUNA,DA,0,0
132581078,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,PRASNAVADA,JAY BHAVANI NEWS AGENCY,27,-248.4,DV,JUNAGADH DAK,0,2020,230,920,CU,100,VJUD200918,9,671.6,9/18/2020,230,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10061307,Junagarh,10061307,NE,130229,JUNA,CRU,JUNA,DA,0,0
132581080,10,JUNAGADH TO UNA,JNAGDH,Cir. Agent upcountry,BHIMDEVAD,KIRANKUMAR N CHITRODA,27,-167.4,DV,JUNAGADH DAK,0,2020,155,620,CU,100,VJUD200918,9,452.6,9/18/2020,155,JTAP,DIVYA BHASKAR,VJUD,4,JNGUNA,JUNAGADH,Circulation Satelite,10061897,Junagarh,10061897,NE,131773,JUNA,CRU,JUNA,DA,0,0
132581082,10,JUNAGADH TO SUTRAPADA VERAVAL,JNAGDH,Cir. Agent upcountry,GADU,MARUT J SOLANKI,27,-334.8,DV,JUNAGADH DAK,0,2020,310,1240,CU,100,VJUD200918,9,905.2,9/18/2020,310,JTAP,DIVYA BHASKAR,VJUD,4,JNVERA,JUNAGADH,Circulation Satelite,10067742,Junagarh,10067742,NE,162795,JUNA,CRU,JUNA,DA,0,0
